"word","freq"
"사이클",1
"사절",1
"사태",1
"사퇴",4
"사회",2
"사회적",1
"산불",1
"산업",1
"살인",1
"살인사건",1
"살해",1
"삼성",2
"삼성그룹",1
"삼성전자",8
"삼성전자ᆞ현대차에",1
"삼성ᆞ현대차가",1
"삼전동",1
"삼프로TV",1
"샀다",1
"상견례",1
"상담",1
"상륙",2
"상소문",2
"상승",3
"상실",1
"상위",1
"상처",1
"상황",5
"상황실",1
"새벽",1
"생각",3
"생방",10
"생방송",5
"생수",1
"생일",2
"생존",1
"생중",1
"생활",2
"서울",1
"서울시",1
"서울시장",2
"서정욱",1
"석방",1
"선물",1
"선발",1
"선별",1
"선수단",1
"선언",2
"선우",1
"선택",3
"설계자",1
"설치",1
"설훈",1
"성격",2
"성공",4
"성교육",1
"성동구",1
"성숙",1
"성장주",3
"세계",3
"세력",3
"세상",1
"세입자",2
"셋째",1
"소감",1
"소동",1
"소득",1
"소름",2
"소리",1
"소비",1
"소식",1
"소환",1
"속보",6
"속보2",1
"손C대",2
"손님",1
"손영래",2
"손정민",12
"손해",1
"손흥민",2
"솔루션",1
"솔직",1
"송명",1
"송석준",1
"송종",1
"송종현",1
"수능",1
"수단",1
"수도권",1
"수박먹던",1
"수사",10
"수상",3
"수여식",1
"수요일",3
"수원",1
"수주",2
"수준",1
"수질",1
"수천억",1
"수첩",7
"수퍼",1
"수해복구",1
"수험생",1
"숙명",1
"숙의",1
"순교",2
"순국",1
"술먹방2일째",1
"숨통",1
"쉴드",1
"슈퍼",2
"슛오프",1
"스마트",1
"스모킹",2
"스무",1
"스브스뉴",3
"스타렉스",1
"스타일",1
"스트레이트",4
"스티브",2
"스파",1
"스페셜",1
"슬기",1
"승리",1
"승부",1
"승수",1
"승인",1
"승진",1
"승호",1
"시간",7
"시골",2
"시늉",1
"시대",1
"시동",3
"시리즈",1
"시무",2
"시뮬레이터",1
"시민",2
"시사",9
"시사타파tv",1
"시속",1
"시스템",1
"시위",1
"시인",1
"시장",3
"시절",1
"시제기",1
"시즌",2
"시즌2",1
"시진핑",1
"시청자",2
"시총",1
"시험",1
"시험비행",1
"신경",1
"신고",2
